                    nu/v	                  E_r/v	               N_theta	                 N_zeta	                   N_xi	                   D_11	                   D_31	                   D_13	                   D_33	           D_33_Spitzer	            t_clock [s]	Delta D11	Delta D31	Delta D13	Delta D33
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.4700000000E+02	1.8000000000E+02	1.3740771841E-02	2.5592072688E-01	-2.5567190408E-01	-3.1359077647E+04	-6.5481537728E+04	2.8259860000E+02	6.1591669180E-08	4.4337266869E-07	-5.1888550179E-07	1.0349746008E-03
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.5100000000E+02	1.8000000000E+02	1.3740833432E-02	2.5592117025E-01	-2.5567242297E-01	-3.1359076612E+04	-6.5481537728E+04	2.9820900000E+02	3.1546477321E-08	1.4536779419E-07	-1.5880047011E-07	6.7857361864E-04
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.5500000000E+02	1.8000000000E+02	1.3740864979E-02	2.5592131562E-01	-2.5567258177E-01	-3.1359075933E+04	-6.5481537728E+04	3.2205720000E+02	1.0484618009E-08	-8.2919159261E-08	9.8516173497E-08	4.3258250298E-04
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.5900000000E+02	1.8000000000E+02	1.3740875463E-02	2.5592123270E-01	-2.5567248325E-01	-3.1359075500E+04	-6.5481537728E+04	3.4452310000E+02	2.6054714497E-09	-3.6665738945E-08	4.0051386707E-08	2.8146062687E-04
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.6300000000E+02	1.8000000000E+02	1.3740878069E-02	2.5592119604E-01	-2.5567244320E-01	-3.1359075219E+04	-6.5481537728E+04	3.7842490000E+02	3.4599104103E-09	2.8500408200E-08	-3.2229351632E-08	1.6002881239E-04
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.6700000000E+02	1.8000000000E+02	1.3740881529E-02	2.5592122454E-01	-2.5567247543E-01	-3.1359075059E+04	-6.5481537728E+04	4.0497340000E+02	3.3504802804E-09	2.4682095812E-08	-2.6775127060E-08	9.5742838312E-05
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.7100000000E+02	1.8000000000E+02	1.3740884879E-02	2.5592124922E-01	-2.5567250221E-01	-3.1359074963E+04	-6.5481537728E+04	4.2835770000E+02	3.3504802804E-09	2.4682095812E-08	-2.6775127060E-08	9.5742838312E-05
														
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.5000000000E+01	1.8000000000E+02	1.6860540742E-02	4.9014527468E-01	-5.5026455223E-01	-2.9644875493E+04	-6.5483621376E+04	8.7390000000E-01	-2.8696108172E-03	-2.2353625778E-01	2.9198082619E-01	-5.3492216910E+02
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.9000000000E+01	1.8000000000E+02	1.3990929925E-02	2.6660901690E-01	-2.5828372604E-01	-3.0179797662E+04	-6.5481457966E+04	1.5379000000E+00	-1.3224080289E-05	-9.2716030531E-02	7.4043265827E-02	-4.1385825681E+02
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	2.3000000000E+01	1.8000000000E+02	1.3977705844E-02	1.7389298636E-01	-1.8424046021E-01	-3.0593655919E+04	-6.5481553843E+04	2.4957000000E+00	5.1039501535E-04	6.9293082682E-02	-5.1369177076E-02	-2.3950359842E+02
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	2.7000000000E+01	1.8000000000E+02	1.4488100860E-02	2.4318606905E-01	-2.3560963729E-01	-3.0833159517E+04	-6.5481538201E+04	3.8765000000E+00	-2.6284360034E-04	2.4194188660E-02	-2.8993344247E-02	-1.7761250303E+02
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	3.1000000000E+01	1.8000000000E+02	1.4225257259E-02	2.6738025771E-01	-2.6460298153E-01	-3.1010772020E+04	-6.5481537748E+04	5.7131000000E+00	2.0323068209E-05	8.7200142230E-03	-9.9642391362E-03	-1.1970891362E+02
